Line Number	Verse Reference	Unaccented Words	Suggested Fix	Total Count	Reason	Context Before	Context After	Full Line
10732	ΒΑΣΙΛΕΙΩΝ Γ 2:23	μοι ὁ	μοι ὁ	882	consecutive enclitics	ποιήσαι	Θεὸς	\vs{23}Καὶ ὤμοσεν ὁ βασιλεὺς Σαλωμὼν κατὰ τοῦ Κυρίου, λέγων, τάδε ποιήσαι μοι ὁ Θεὸς καὶ τάδε προσθείη, ὅτι κατὰ τῆς ψυχῆς αὐτοῦ ἐλάλησεν Ἀδωνίας τὸν λόγον τοῦτον.
10749	ΒΑΣΙΛΕΙΩΝ Γ 2:35a	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	καρδίας	ἄμμος	\vs{35a}καὶ ἔδωκε Κύριος φρόνησιν τῷ Σαλωμὼν, καὶ σοφίαν πολλὴν σφόδρα, καὶ πλάτος καρδίας, ὡς ἡ ἄμμος ἡ παρὰ τὴν θάλασσαν.
10771	ΒΑΣΙΛΕΙΩΝ Γ 2:39	σου ἐν	σου ἐν	5611	consecutive enclitics	δοῦλοί	Γέθ	\vs{39}Καὶ ἐγενήθη μετὰ τὰ τρία ἔτη, καὶ ἀπέδρασαν δύο δοῦλοι τοῦ Σεμεῒ πρὸς Ἀγχοὺς υἱὸν Μααχὰ βασιλέα Γέθ· καὶ ἀπηγγέλη τῷ Σεμεῒ, λέγοντες, ἰδοὺ οἱ δοῦλοί σου ἐν Γέθ.
10781	ΒΑΣΙΛΕΙΩΝ Γ 2:46a	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	σφόδρα	ἄμμος	\vs{46a}Καὶ ἦν ὁ βασιλεὺς Σαλωμὼν φρόνιμος σφόδρα καὶ σοφός· καὶ Ἰούδα καὶ Ἰσραὴλ πολλοὶ σφόδρα, ὡς ἡ ἄμμος ἡ ἐπὶ τῆς θαλάσσης εἰς πλῆθος, ἐσθίοντες καὶ πίνοντες καὶ χαίροντες·
10801	ΒΑΣΙΛΕΙΩΝ Γ 3:6	σου ἐν	σου ἐν	5611	consecutive enclitics	ἐνώπιόν	ἀληθείᾳ	\vs{6}Καὶ εἶπε Σαλωμὼν, σὺ ἐποιήσας μετὰ τοῦ δούλου σου Δαυὶδ τοῦ πατρός μου ἔλεος μέγα, καθὼς διῆλθεν ἐνώπιόν σου ἐν ἀληθείᾳ καὶ ἐν δικαιοσύνῃ, καὶ ἐν εὐθύτητι καρδίας μετὰ σοῦ, καὶ ἐφύλαξας αὐτῷ τὸ ἔλεος τὸ μέγα τοῦτο, δοῦναι τὸν υἱὸν αὐτοῦ ἐπὶ τοῦ θρόνου αὐτοῦ, ὡς ἡ ἡμέρα αὕτη.
10801	ΒΑΣΙΛΕΙΩΝ Γ 3:6	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	αὐτοῦ	ἡμέρα	\vs{6}Καὶ εἶπε Σαλωμὼν, σὺ ἐποιήσας μετὰ τοῦ δούλου σου Δαυὶδ τοῦ πατρός μου ἔλεος μέγα, καθὼς διῆλθεν ἐνώπιόν σου ἐν ἀληθείᾳ καὶ ἐν δικαιοσύνῃ, καὶ ἐν εὐθύτητι καρδίας μετὰ σοῦ, καὶ ἐφύλαξας αὐτῷ τὸ ἔλεος τὸ μέγα τοῦτο, δοῦναι τὸν υἱὸν αὐτοῦ ἐπὶ τοῦ θρόνου αὐτοῦ, ὡς ἡ ἡμέρα αὕτη.
10804	ΒΑΣΙΛΕΙΩΝ Γ 3:9	σου ἐν	σου ἐν	5611	consecutive enclitics	λαόν	δικαιοσύνῃ	\vs{9}Καὶ δώσεις τῷ δούλῳ σου καρδίαν ἀκούειν καὶ διακρίνειν τὸν λαόν σου ἐν δικαιοσύνῃ, καὶ τοῦ συνιεῖν ἀναμέσον ἀγαθοῦ καὶ κακοῦ· ὅτι τίς δυνηθήσεται κρίνειν τὸν λαόν σου τὸν βαρὺν τοῦτον;
10809	ΒΑΣΙΛΕΙΩΝ Γ 3:13	ὡς οὐ	ὡς οὐ	1776	consecutive enclitics	δόξαν	γέγονεν	\vs{13}Καὶ ἃ οὐκ ᾐτήσω δέδωκά σοι, καὶ πλοῦτον καὶ δόξαν, ὡς οὐ γέγονεν ἀνὴρ ὅμοιός σοι ἐν βασιλεῦσι.
10819	ΒΑΣΙΛΕΙΩΝ Γ 3:22	μου ὁ	μου ὁ	4317	consecutive enclitics	υἱός	ζῶν	\vs{22}Καὶ εἶπεν ἡ γυνὴ ἡ ἑτέρα, οὐχί, ἀλλὰ ὁ υἱός μου ὁ ζῶν, ὁ δὲ υἱός σου ὁ τεθνηκώς· καὶ ἐλάλησαν ἐνώπιον τοῦ βασιλέως.
10819	ΒΑΣΙΛΕΙΩΝ Γ 3:22	σου ὁ	σου ὁ	5611	consecutive enclitics	υἱός	τεθνηκώς	\vs{22}Καὶ εἶπεν ἡ γυνὴ ἡ ἑτέρα, οὐχί, ἀλλὰ ὁ υἱός μου ὁ ζῶν, ὁ δὲ υἱός σου ὁ τεθνηκώς· καὶ ἐλάλησαν ἐνώπιον τοῦ βασιλέως.
10821	ΒΑΣΙΛΕΙΩΝ Γ 3:23	μου ὁ	μου ὁ	4317	consecutive enclitics	υἱός	ζῶν	\vs{23}Καὶ εἶπεν ὁ βασιλεὺς αὐταῖς, σὺ λέγεις, οὗτος ὁ υἱός μου ὁ ζῶν, καὶ ὁ υἱὸς ταύτης ὁ τεθνηκώς· καὶ σὺ λέγεις, οὐχί, ἀλλὰ ὁ υἱός μου ὁ ζῶν, καὶ ὁ υἱός σου ὁ τεθνηκώς.
10821	ΒΑΣΙΛΕΙΩΝ Γ 3:23	μου ὁ	μου ὁ	4317	consecutive enclitics	υἱός	ζῶν	\vs{23}Καὶ εἶπεν ὁ βασιλεὺς αὐταῖς, σὺ λέγεις, οὗτος ὁ υἱός μου ὁ ζῶν, καὶ ὁ υἱὸς ταύτης ὁ τεθνηκώς· καὶ σὺ λέγεις, οὐχί, ἀλλὰ ὁ υἱός μου ὁ ζῶν, καὶ ὁ υἱός σου ὁ τεθνηκώς.
10821	ΒΑΣΙΛΕΙΩΝ Γ 3:23	σου ὁ	σου ὁ	5611	consecutive enclitics	υἱός	τεθνηκώς	\vs{23}Καὶ εἶπεν ὁ βασιλεὺς αὐταῖς, σὺ λέγεις, οὗτος ὁ υἱός μου ὁ ζῶν, καὶ ὁ υἱὸς ταύτης ὁ τεθνηκώς· καὶ σὺ λέγεις, οὐχί, ἀλλὰ ὁ υἱός μου ὁ ζῶν, καὶ ὁ υἱός σου ὁ τεθνηκώς.
10856	ΒΑΣΙΛΕΙΩΝ Γ 5:9	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	καρδίας	ἄμμος	\vs{9}Καὶ ἔδωκε Κύριος φρόνησιν τῷ Σαλωμὼν καὶ σοφίαν πολλὴν σφόδρα καὶ χύμα καρδίας, ὡς ἡ ἄμμος ἡ παρὰ τὴν θάλασσαν.
11015	ΒΑΣΙΛΕΙΩΝ Γ 8:23	σου ἐν	σου ἐν	5611	consecutive enclitics	ἐνώπιόν	ὅλῃ	\vs{23}καὶ εἶπε, Κύριε ὁ Θεὸς Ἰσραὴλ, οὐκ ἔστιν ὡς σὺ Θεὸς ἐν τῷ οὐρανῷ ἄνω καὶ ἐπὶ τῆς γῆς κάτω, φυλάσσων διαθήκην καὶ ἔλεος τῷ δούλῳ σου τῷ πορευομένῳ ἐνώπιόν σου ἐν ὅλῃ τῇ καρδίᾳ αὐτοῦ,
11016	ΒΑΣΙΛΕΙΩΝ Γ 8:24	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	ἐπλήρωσας	ἡμέρα	\vs{24}ἃ ἐφύλαξας τῷ δούλῳ σου Δαυὶδ τῷ πατρί μου· καὶ γὰρ ἐλάλησας ἐν τῷ στόματί σου, καὶ ἐν χερσί σου ἐπλήρωσας, ὡς ἡ ἡμέρα αὕτη.
11020	ΒΑΣΙΛΕΙΩΝ Γ 8:27	εἰ ὁ	εἰ ὁ	544	consecutive enclitics	γῆς	οὐρανὸς	\vs{27}Ὅτι εἰ ἀληθῶς κατοικήσει ὁ Θεὸς μετὰ ἀνθρώπων ἐπὶ τῆς γῆς; εἰ ὁ οὐρανὸς καὶ ὁ οὐρανὸς τοῦ οὐρανοῦ οὐκ ἀρκέσουσί σοι, πλὴν καὶ ὁ οἶκος οὗτος ὃν ᾠκοδόμησα τῷ ὀνόματί σου;
11022	ΒΑΣΙΛΕΙΩΝ Γ 8:29	σου εἰς	σου εἰς	5611	consecutive enclitics	δοῦλός	τὸν	\vs{29}τοῦ εἶναι τοὺς ὀφθαλμούς σου ἠνεῳγμένους εἰς τὸν οἶκον τοῦτον ἡμέρας καὶ νυκτὸς, εἰς τὸν τόπον ὃν εἶπας, ἔσται τὸ ὄνομά μου ἐκεῖ, τοῦ εἰσακούειν τῆς προσευχῆς ἧς προσεύχεται ὁ δοῦλός σου εἰς τὸν τόπον τοῦτον ἡμέρας καὶ νυκτός.
11023	ΒΑΣΙΛΕΙΩΝ Γ 8:30	σου ἐν	σου ἐν	5611	consecutive enclitics	κατοικήσεώς	οὐρανῷ	\vs{30}Καὶ εἰσακούσῃ τῆς δεήσεως τοῦ δούλου σου καὶ τοῦ· λαοῦ σου Ἰσραὴλ ἃ ἂν προσεύξωνται εἰς τὸν τόπον τοῦτον· καὶ σὺ εἰσακούσῃ ἐν τῷ τόπῳ τῆς κατοικήσεώς σου ἐν οὐρανῷ· καὶ ποιήσεις καὶ ἵλεως ἔσῃ.
11025	ΒΑΣΙΛΕΙΩΝ Γ 8:31	σου ἐν	σου ἐν	5611	consecutive enclitics	θυσιαστηρίου	τῷ	\vs{31}Ὅσα ἂν ἁμάρτῃ ἕκαστος τῷ πλησίον αὐτοῦ, καὶ ἐὰν λάβῃ ἐπʼ αὐτὸν ἀρὰν τοῦ ἀράσασθαι αὐτὸν, καὶ ἔλθῃ καὶ ἐξαγορεύσῃ κατὰ πρόσωπον τοῦ θυσιαστηρίου σου ἐν τῷ οἴκῳ τούτῳ,
11065	ΒΑΣΙΛΕΙΩΝ Γ 8:61	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	αὐτοῦ	ἡμέρα	\vs{61}Καὶ ἔστωσαν αἱ καρδίαι ἡμῶν τέλειαι πρὸς Κύριον Θεὸν ἡμῶν, καὶ ὁσίως πορεύεσθαι ἐν τοῖς προστάγμασιν αὐτοῦ, καὶ φυλάσσειν ἐντολὰς αὐτοῦ, ὡς ἡ ἡμέρα αὕτη.
11195	ΒΑΣΙΛΕΙΩΝ Γ 12:7	εἰ ἐν	εἰ ἐν	544	consecutive enclitics	λέγοντες	τῇ	\vs{7}Καὶ ἐλάλησαν πρὸς αὐτὸν, λέγοντες, εἰ ἐν τῇ ἡμέρᾳ ταύτῃ ἔσῃ δοῦλος τῷ λαῷ τούτῳ, καὶ δουλεύσεις αὐτοῖς, καὶ λαλήσεις πρὸς αὐτοὺς λόγους ἀγαθοὺς, καὶ ἔσονταί σοι δοῦλοι πάσας τὰς ἡμέρας.
11198	ΒΑΣΙΛΕΙΩΝ Γ 12:9	σου ἐφ	σου ἐφ	5611	consecutive enclitics	πατήρ		\vs{9}Καὶ εἶπεν αὐτοῖς, τί ὑμεῖς συμβουλεύετε; καὶ τί ἀποκριθῶ τῷ λαῷ τούτῳ τοῖς λέγουσι πρὸς μὲ, λεγόντων, κούφισον ἀπὸ τοῦ κλοιοῦ οὗ ἔδωκεν ὁ πατήρ σου ἐφʼ ἡμᾶς;
11247	ΒΑΣΙΛΕΙΩΝ Γ 12:24t	οὐκ εἰς	οὐκ εἰς	3183	consecutive enclitics	οὗτος	ἄρχοντα	\vs{24t}καὶ εἶπε πᾶς ὁ λαὸς ὡς ἀνὴρ εἷς ἕκαστος τῷ πλησίον αὐτοῦ, καὶ ἀνέκραξαν ἅπαντες, λέγοντες, οὐ μερὶς ἡμῖν ἐν Δαυὶδ, οὐδὲ κληρονομία ἐν υἱῷ Ἰεσσαί· ἕκαστος εἰς τὰ σκηνώματά σου Ἰσραὴλ, ὅτι ὁ ἄνθρωπος οὗτος οὐκ εἰς ἄρχοντα οὐδὲ εἰς ἡγούμενον·
11256	ΒΑΣΙΛΕΙΩΝ Γ 12:28	σε ἐκ	σε ἐκ	1148	consecutive enclitics	ἀναγαγόντες	γῆς	\vs{28}Καὶ ἐβουλεύσατο ὁ βασιλεὺς, καὶ ἐπορεύθη, καὶ ἐποίησε δύο δαμάλεις χρυσᾶς, καὶ εἶπε πρὸς τὸν λαὸν, ἱκανούσθω ὑμῖν ἀναβαίνειν εἰς Ἱερουσαλήμ· ἰδοὺ θεοί σου Ἰσραὴλ οἱ ἀναγαγόντες σε ἐκ γῆς Αἰγύπτου.
11259	ΒΑΣΙΛΕΙΩΝ Γ 12:31	τι ἐκ	τι ἐκ	90	consecutive enclitics	μέρος	τοῦ	\vs{31}Καὶ ἐποίησεν οἴκους ἐφʼ ὑψηλῶν, καὶ ἐποίησεν ἱερεῖς μέρος τι ἐκ τοῦ λαοῦ, οἳ οὐκ ἦσαν ἐκ τῶν υἱῶν Λευί.
11267	ΒΑΣΙΛΕΙΩΝ Γ 13:3	ἡ ἐπ	ἡ ἐπ	3412	consecutive enclitics	πιότης		\vs{3}Καὶ δώσει ἐν τῇ ἡμέρᾳ ἐκείνῃ τέρας, λέγων, τοῦτο τὸ ῥῆμα ὃ ἐλάλησε Κύριος, λέγων, ἰδοὺ τὸ θυσιαστήριον ῥήγνυται, καὶ ἐκχυθήσεται ἡ πιότης ἡ ἐπʼ αὐτῷ.
11284	ΒΑΣΙΛΕΙΩΝ Γ 13:17	μοι ἐν	μοι ἐν	882	consecutive enclitics	ἐντέταλταί	λόγῳ	\vs{17}Ὅτι οὕτως ἐντέταλταί μοι ἐν λόγῳ Κύριος, λέγων, μὴ φάγῃς ἄρτον ἐκεῖ καὶ μὴ πίῃς ὕδωρ καὶ μὴ ἐπιστρέψῃς ἐκεῖ ἐν τῇ ὁδῷ ᾗ ἐπορεύθης ἐν αὐτῇ.
11325	ΒΑΣΙΛΕΙΩΝ Γ 15:3	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	αὐτοῦ	καρδία	\vs{3}Καὶ ἐπορεύθη ἐν ταῖς ἁμαρτίαις τοῦ πατρὸς αὐτοῦ αἷς ἐποίησεν ἐνώπιον αὐτοῦ, καὶ οὐκ ἦν ἡ καρδία αὐτοῦ τελεία μετὰ Κυρίου Θεοῦ αὐτοῦ, ὡς ἡ καρδία τοῦ πατρὸς αὐτοῦ.
11367	ΒΑΣΙΛΕΙΩΝ Γ 16:2	με ἐν	με ἐν	1285	consecutive enclitics	παροργίσαι	τοῖς	\vs{2}Ἀνθʼ ὧν ὕψωσά σε ἀπὸ τῆς γῆς, καὶ ἔδωκά σε ἡγούμενον ἐπὶ τὸν λαόν μου Ἰσραήλ, καὶ ἐπορεύθης ἐν τῇ ὁδῷ Ἱεροβοὰμ, καὶ ἐξήμαρτες τὸν λαόν μου τὸν Ἰσραὴλ, τοῦ παροργίσαι με ἐν τοῖς ματαίοις αὐτῶν,
11368	ΒΑΣΙΛΕΙΩΝ Γ 16:3	σου ὡς	σου ὡς	5611	consecutive enclitics	οἶκόν	τὸν	\vs{3}ἰδοὺ ἐγὼ ἐξεγείρω ὀπίσω Βαασὰ, καὶ ὄπισθεν τοῦ οἴκου αὐτοῦ, καὶ δώσω τὸν οἶκόν σου ὡς τὸν οἶκον Ἱεροβοὰμ υἱοῦ Ναβάτ.
11409	ΒΑΣΙΛΕΙΩΝ Γ 16:28g	μου ἐν	μου ἐν	4317	consecutive enclitics	παιδάριά	τῇ	\vs{28g}τότε εἶπεν βασιλεὺς Ἰσραὴλ πρὸς Ἰωσαφὰτ, ἐξαποστελῶ τοὺς παῖδάς σου καὶ τὰ παιδάριά μου ἐν τῇ νηΐ· καὶ οὐκ ἐβούλετο Ἰωσαφάτ·
11421	ΒΑΣΙΛΕΙΩΝ Γ 17:1	ὁ ἐκ	ὁ ἐκ	7508	consecutive enclitics	Θεσβίτης	Θεσβῶν	Καὶ εἶπεν Ἠλιοὺ ὁ προφήτης Θεσβίτης ὁ ἐκ Θεσβῶν τῆς Γαλαὰδ πρὸς Ἀχαὰβ, ζῇ Κύριος ὁ Θεὸς τῶν δυνάμεων ὁ Θεὸς Ἰσραὴλ, ᾧ παρέστην ἐνώπιον αὐτοῦ, εἰ ἔσται τὰ ἔτη ταῦτα δρόσος καὶ ὑετὸς, ὅτι εἰ μὴ διὰ στόματος λόγου μου.
11436	ΒΑΣΙΛΕΙΩΝ Γ 17:13	μοι ἐν	μοι ἐν	882	consecutive enclitics	ἐξοίσεις	πρώτοις	\vs{13}Καὶ εἶπε πρὸς αὐτὴν Ἠλιοὺ, θάρσει, εἴσελθε καὶ ποίησον κατὰ τὸ ῥῆμά σου· ἀλλὰ ποίησόν μοι ἐκεῖθεν ἐγκρυφίαν μικρὸν, καὶ ἐξοίσεις μοι ἐν πρώτοις, σαυτῇ δὲ καὶ τοῖς τέκνοις σου ποιήσεις ἐπʼ ἐσχάτῳ·
11461	ΒΑΣΙΛΕΙΩΝ Γ 18:9	σου εἰς	σου εἰς	5611	consecutive enclitics	δοῦλόν	χεῖρα	\vs{9}Καὶ εἶπεν Ἀβδιοὺ, τί ἡμάρτηκα, ὅτι δίδως τὸν δοῦλόν σου εἰς χεῖρα Ἀχαὰβ τοῦ θανατῶσαί με;
11485	ΒΑΣΙΛΕΙΩΝ Γ 18:29	ὡς ὁ	ὡς ὁ	1776	consecutive enclitics	ἐγένετο	καιρὸς	\vs{29}καὶ προεφήτευον ἕως οὗ παρῆλθε τὸ δειλινόν· καὶ ἐγένετο ὡς ὁ καιρὸς τοὺ ἀναβῆναι τὴν θυσίαν, καὶ ἐλάλησεν Ἠλιοὺ ὁ Θεσβίτης πρὸς τοὺς προφήτας τῶν προσοχθισμάτων, λέγων, μετάστητε ἀπὸ τοῦ νῦν, καὶ ἐγὼ ποιήσω τὸ ὁλοκαύτωμά μου· καὶ μετέστησαν, καὶ ἀπῆλθον.
11504	ΒΑΣΙΛΕΙΩΝ Γ 18:44	σε ὁ	σε ὁ	1148	consecutive enclitics	καταλάβῃ	ὑετός	\vs{44}Καὶ ἐπέστρεψε τὸ παιδάριον ἑπτάκις· καὶ ἐγένετο ἐν τῷ ἑβδόμῳ, καὶ ἰδοὺ νεφέλη μικρὰ ὡς ἴχνος ἀνδρὸς ἀνάγουσα ὕδωρ· καὶ εἶπεν, ἀνάβηθι, καὶ εἶπον Ἀχαὰβ, ζεῦξον τὸ ἅρμα σου καὶ κατάβηθι, μὴ καταλάβῃ σε ὁ ὑετός.
11510	ΒΑΣΙΛΕΙΩΝ Γ 19:2	μοι ὁ	μοι ὁ	882	consecutive enclitics	ποιήσαι	θεὸς	\vs{2}Καὶ ἀπέστειλεν Ἰεζάβελ πρὸς Ἠλιοὺ, καὶ εἶπεν, εἰ σὺ εἶ Ἠλιοὺ καὶ ἐγὼ Ἰεζάβελ, τάδε ποιήσαι μοι ὁ θεὸς καὶ τάδε προσθείη, ὅτι ταύτην τὴν ὥραν αὔριον θήσομαι τὴν ψυχήν σου καθὼς ψυχὴν ἑνὸς ἐξ αὐτῶν.
11520	ΒΑΣΙΛΕΙΩΝ Γ 19:10	σε οἱ	σε οἱ	1148	consecutive enclitics	ἐγκατέλιπόν	υἱοὶ	\vs{10}Καὶ εἶπεν Ἠλιοὺ, ζηλῶν ἐζήλωκα τῷ Κυρίῳ παντοκράτορι, ὅτι ἐγκατέλιπόν σε οἱ υἱοὶ Ἰσραήλ· τὰ θυσιαστήριά σου κατέσκαψαν, καὶ τοὺς προφήτας σου ἀπέκτειναν ἐν ῥομφαίᾳ καὶ ὑπολέλειμμαι ἐγὼ μονώτατος, καὶ ζητοῦσι τὴν ψυχήν μου λαβεῖν αὐτήν.
11521	ΒΑΣΙΛΕΙΩΝ Γ 19:11	οὐκ ἐν	οὐκ ἐν	3183	consecutive enclitics	Κυρίου	τῷ	\vs{11}Καὶ εἶπεν, ἐξελεύσῃ αὔριον, καὶ στήσῃ ἐνώπιον Κυρίου ἐν τῷ ὄρει· ἰδοὺ παρελεύσεται Κύριος. καὶ ἰδοὺ πνεῦμα μέγα κραταιὸν διαλύον ὄρη καὶ συντρίβον πέτρας ἐνώπιον Κυρίου, οὐκ ἐν τῷ πνεύματι Κύριος· καὶ μετὰ τό πνεῦμα συσσεισμὸς, οὐκ ἐν τῷ συσσεισμῷ Κύριος·
11521	ΒΑΣΙΛΕΙΩΝ Γ 19:11	οὐκ ἐν	οὐκ ἐν	3183	consecutive enclitics	συσσεισμὸς	τῷ	\vs{11}Καὶ εἶπεν, ἐξελεύσῃ αὔριον, καὶ στήσῃ ἐνώπιον Κυρίου ἐν τῷ ὄρει· ἰδοὺ παρελεύσεται Κύριος. καὶ ἰδοὺ πνεῦμα μέγα κραταιὸν διαλύον ὄρη καὶ συντρίβον πέτρας ἐνώπιον Κυρίου, οὐκ ἐν τῷ πνεύματι Κύριος· καὶ μετὰ τό πνεῦμα συσσεισμὸς, οὐκ ἐν τῷ συσσεισμῷ Κύριος·
11522	ΒΑΣΙΛΕΙΩΝ Γ 19:12	οὐκ ἐν	οὐκ ἐν	3183	consecutive enclitics	πῦρ	τῷ	\vs{12}Καὶ μετὰ τὸν συσσεισμὸν πῦρ, οὐκ ἐν τῷ πυρὶ Κύριος· καὶ μετὰ τὸ πῦρ φωνὴ αὔρας λεπτῆς.
11525	ΒΑΣΙΛΕΙΩΝ Γ 19:14	σου οἱ	σου οἱ	5611	consecutive enclitics	διαθήκην	υἱοὶ	\vs{14}Καὶ εἶπεν Ἠλιού, ζηλῶν ἐζήλωκα τῷ Κυρίῳ παντοκράτορι, ὅτι ἐγκατέλιπον τὴν διαθήκην σου οἱ υἱοὶ Ἰσραήλ· καὶ τὰ θυσιαστήριά σου καθεῖλαν, καὶ τοὺς προφήτας σου ἀπέκτειναν ἐν ῥομφαίᾳ, καὶ ὑπολέλειμμαι ἐγὼ μονώτατος, καὶ ζητοῦσι τὴν ψυχήν μου λαβεῖν αὐτήν.
11537	ΒΑΣΙΛΕΙΩΝ Γ 20:2	μοι εἰς	μοι εἰς	882	consecutive enclitics	ἔσται	κῆπον	\vs{2}Καὶ ἐλάλησεν Ἀχαὰβ πρὸς Ναβουθαὶ, λέγων, δός μοι τὸν ἀμπελῶνά σου, καὶ ἔσται μοι εἰς κῆπον λαχάνων, ὅτι ἐγγίζων οὗτος τῷ οἴκῳ μου, καὶ δώσω σοι ἀμπελῶνα ἄλλον ἀγαθὸν ὑπὲρ αὐτόν· εἰ δὲ ἀρέσκει ἐνώπιόν σου, δώσω σοι ἀργύριον ἄλλαγμα ἀμπελῶνός σου τούτου, καὶ ἔσται μοι εἰς κῆπον λαχάνων.
11537	ΒΑΣΙΛΕΙΩΝ Γ 20:2	μοι εἰς	μοι εἰς	882	consecutive enclitics	ἔσται	κῆπον	\vs{2}Καὶ ἐλάλησεν Ἀχαὰβ πρὸς Ναβουθαὶ, λέγων, δός μοι τὸν ἀμπελῶνά σου, καὶ ἔσται μοι εἰς κῆπον λαχάνων, ὅτι ἐγγίζων οὗτος τῷ οἴκῳ μου, καὶ δώσω σοι ἀμπελῶνα ἄλλον ἀγαθὸν ὑπὲρ αὐτόν· εἰ δὲ ἀρέσκει ἐνώπιόν σου, δώσω σοι ἀργύριον ἄλλαγμα ἀμπελῶνός σου τούτου, καὶ ἔσται μοι εἰς κῆπον λαχάνων.
11560	ΒΑΣΙΛΕΙΩΝ Γ 20:20	με ὁ	με ὁ	1285	consecutive enclitics	εὕρηκάς	ἐχθρός	\vs{20}Καὶ εἶπεν Ἀχαὰβ πρὸς Ἠλιοὺ, εἰ εὕρηκάς με ὁ ἐχθρός μου; καὶ εἶπεν, εὕρηκα· διότι μάτην πέπρασαι ποιῆσαι τὸ πονηρὸν ἐνώπιον Κυρίου, παροργίσαι αὐτόν.
11562	ΒΑΣΙΛΕΙΩΝ Γ 20:22	σου ὡς	σου ὡς	5611	consecutive enclitics	οἶκόν	τὸν	\vs{22}Καὶ δώσω τὸν οἶκόν σου ὡς τὸν οἶκον Ἱεροβοὰμ υἱοῦ Ναβὰτ, καὶ ὡς τὸν οἶκον Βαασὰ υἱοῦ Ἀχιὰ, περὶ τῶν παροργισμάτων ὧν παρώργισας καὶ ἐξήμαρτες τὸν Ἰσραὴλ.
11583	ΒΑΣΙΛΕΙΩΝ Γ 21:9	σου ἐν	σου ἐν	5611	consecutive enclitics	δοῦλόν	πρώτοις	\vs{9}Καὶ εἶπε τοῖς ἀγγέλοις υἱοῦ Ἄδερ, λέγετε τῷ κυρίῳ ὑμῶν, πάντα ὅσα ἀπέσταλκας πρὸς τὸν δοῦλόν σου ἐν πρώτοις ποιήσω, τὸ δὲ ῥῆμα τοῦτο οὐ δυνήσομαι ποιῆσαι· καὶ ἀπῇραν οἱ ἄνδρες, καὶ ἐπέστρεψαν αὐτῷ λόγον.
11585	ΒΑΣΙΛΕΙΩΝ Γ 21:10	μοι ὁ	μοι ὁ	882	consecutive enclitics	ποιήσαι	Θεὸς	\vs{10}Καὶ ἀπέστειλε πρὸς αὐτὸν υἱὸς Ἄδερ, λέγων, τάδε ποιήσαι μοι ὁ Θεὸς καὶ τάδε προσθείη, εἰ ἐκποιήσει ὁ χοῦς Σαμαρείας ταῖς ἀλώπεξι παντὶ τῷ λαῷ τοῖς πεζοῖς μου.
11586	ΒΑΣΙΛΕΙΩΝ Γ 21:11	ὡς ὁ	ὡς ὁ	1776	consecutive enclitics	κυρτὸς	ὀρθός	\vs{11}Καὶ ἀπεκρίθη ὁ βασιλεὺς Ἰσραὴλ, καὶ εἶπεν, ἱκανούσθω· μὴ καυχάσθω ὁ κυρτὸς, ὡς ὁ ὀρθός.
11587	ΒΑΣΙΛΕΙΩΝ Γ 21:12	οἱ μετ	οἱ μετ	4140	consecutive enclitics	βασιλεῖς		\vs{12}Καὶ ἐγένετο ὅτε ἀπεκρίθη αὐτῷ τὸν λόγον τοῦτον, πίνων ἦν αὐτὸς καὶ πάντες οἱ βασιλεῖς οἱ μετʼ αὐτοῦ ἐν σκηναῖς· καὶ εἶπε τοῖς παισὶν αὐτοῦ, οἰκοδομήσατε χάρακα· καὶ ἔθεντο χάρακα ἐπὶ τὴν πόλιν.
11595	ΒΑΣΙΛΕΙΩΝ Γ 21:18	εἰ εἰς	εἰ εἰς	544	consecutive enclitics	αὐτοῖς	εἰρήνην	\vs{18}Καὶ εἶπεν αὐτοῖς, εἰ εἰς εἰρήνην ἐκπορεύονται, συλλαβεῖν αὐτοὺς ζῶντας· καὶ εἰ εἰς πόλεμον, ζῶντας συλλαβεῖν αὐτούς·
11595	ΒΑΣΙΛΕΙΩΝ Γ 21:18	εἰ εἰς	εἰ εἰς	544	consecutive enclitics	καὶ	πόλεμον	\vs{18}Καὶ εἶπεν αὐτοῖς, εἰ εἰς εἰρήνην ἐκπορεύονται, συλλαβεῖν αὐτοὺς ζῶντας· καὶ εἰ εἰς πόλεμον, ζῶντας συλλαβεῖν αὐτούς·
