Line Number	Verse Reference	Word	Following Word	Following Word Has Accent	Accent Count	Accent Positions	Full Line
10074	ΒΑΣΙΛΕΙΩΝ Β 12:3	κόλπῷ	αὐτοῦ	Yes	2	pos 1: ACUTE on ο; pos 4: CIRCUMFLEX on ω	\vs{3}Καὶ τῷ πένητι οὐδὲν ἀλλʼ ἢ ἀμνὰς μία μικρὰ, ἣν ἐκτήσατο καὶ περιεποιήσατο, καὶ ἐξέθρεψεν αὐτὴν, καὶ ἡδρύνθη μετʼ αὐτοῦ καὶ μετὰ τῶν υἱῶν αὐτοῦ ἐπὶ τὸ αὐτὸ, ἐκ τοῦ ἄρτου αὐτοῦ ἤσθιε, καὶ ἐκ τοῦ ποτηρίου αὐτοῦ ἔπινε, καὶ ἐν τῷ κόλπῷ αὐτοῦ ἐκάθευδε, καὶ ἦν αὐτῷ ὡς θυγάτηρ.
10140	ΒΑΣΙΛΕΙΩΝ Β 13:25	πορεύθῶμεν	πάντες	Yes	2	pos 4: ACUTE on υ; pos 6: CIRCUMFLEX on ω	\vs{25}Καὶ εἶπεν ὁ βασιλεὺς πρὸς Ἀβεσσαλὼμ, μὴ δὴ υἱέ μου, μὴ πορεύθῶμεν πάντες ἡμεῖς, καὶ οὐ μὴ καταβαρυνθῶμεν ἐπὶ σέ· καὶ ἐβιάσατο αὐτόν, καὶ οὐκ ἠθέλησε τοῦ πορευθῆναι, καὶ εὐλόγησεν αὐτόν.
10439	ΒΑΣΙΛΕΙΩΝ Β 20:12	μέσὼ	τῆς	Yes	2	pos 1: ACUTE on ε; pos 3: GRAVE on ω	\vs{12}Καὶ Ἀμεσσαῒ πεφυρμένος ἐν τῷ αἵματι ἐν μέσὼ τῆς τρίβου· καὶ εἶδεν ἀνὴρ, ὅτι εἱστήκει πᾶς ὁ λαὸς, καὶ ἀπέστρεψε τὸν Ἀμεσσαῒ ἐκ τῆς τρίβου εἰς ἀγρόν· καὶ ἐπέῤῥιψεν ἐπʼ αὐτὸν ἱμάτιον, καθʼ ὅτι εἶδε πάντα τὸν ἐρχόμενον ἐπʼ αὐτὸν ἑστηκότα.
10660	ΒΑΣΙΛΕΙΩΝ Γ 1:15	εἴσῆλθε	Βηρσαβεὲ	Yes	2	pos 1: ACUTE on ι; pos 3: CIRCUMFLEX on η	\vs{15}Καὶ εἴσῆλθε Βηρσαβεὲ πρὸς τὸν βασιλέα εἰς τὸ ταμεῖον· καὶ ὁ βασιλεὺς πρεσβύτης σφόδρα· καὶ Ἀβισὰγ ἡ Σωμανῖτις ἦν λειτουργοῦσα τῷ βασιλεῖ.
10892	ΒΑΣΙΛΕΙΩΝ Γ 6:1c	τετάρτῷ	ἐθεμελίωσε	Yes	2	pos 3: ACUTE on α; pos 6: CIRCUMFLEX on ω	\vs{1c}Ἐν τῷ ἔτει τῷ τετάρτῷ ἐθεμελίωσε τὸν οἶκον Κυρίου ἐν μηνὶ Ζιοῦ, καὶ τῷ δευτέρῳ μηνί.
11271	ΒΑΣΙΛΕΙΩΝ Γ 13:6	πρόσώπου	Κυρίου	Yes	2	pos 2: ACUTE on ο; pos 4: ACUTE on ω	\vs{6}Καὶ εἶπεν ὁ βασιλεὺς Ἱεροβοὰμ τῷ ἀνθρώπῳ τοῦ Θεοῦ, δεήθητι τοῦ πρόσώπου Κυρίου τοῦ Θεοῦ σου, καὶ ἐπιστρεψάτω ἡ χείρ μου πρὸς ἐμέ· καὶ ἐδεήθη ὁ ἄνθρωπος τοῦ Θεοῦ τοῦ προσώπου Κυρίου, καὶ ἐπέστρεψε τὴν χεῖρα τοῦ βασιλέως πρὸς αὐτὸν, καὶ ἐγένετο καθὼς τὸ πρότερον.
11681	ΒΑΣΙΛΕΙΩΝ Γ 22:41	τετάρτῷ	τοῦ	Yes	2	pos 3: ACUTE on α; pos 6: CIRCUMFLEX on ω	\vs{41}Καὶ Ἰωσαφὰτ υἱὸς Ἀσὰ ἐβασίλευσεν ἐπὶ Ἰούδαν· ἐν ἔτει τετάρτῷ τοῦ Ἀχαὰβ βασιλέως Ἰσραὴλ ἐβασίλευσεν
12172	ΒΑΣΙΛΕΙΩΝ Δ 13:25	Ἄζαὴλ	ἃς	Yes	2	pos 0: ACUTE on Α; pos 3: GRAVE on η	\vs{25}Καὶ ἐπέστρεψεν Ἰωὰς υἱὸς Ἰωάχαζ, καὶ ἔλαβε τὰς πόλεις ἐκ χειρὸς υἱοῦ Ἄδερ υἱοῦ Ἄζαὴλ, ἃς ἔλαβεν ἐκ χειρὸς Ἰωάχας τοῦ πατρὸς αὐτοῦ ἐν τῷ πολέμῳ· τρὶς ἐπάταξεν αὐτὸν Ἰωὰς, καὶ ἐπέστρεψε τὰς πόλεις Ἰσραήλ.
12342	ΒΑΣΙΛΕΙΩΝ Δ 18:2	Ἄβού	θυγάτηρ	Yes	2	pos 0: ACUTE on Α; pos 3: ACUTE on υ	\vs{2}Υἱὸς εἴκοσι καὶ πέντε ἐτῶν ἐν τῷ βασιλεύειν αὐτὸν, καὶ εἴκοσι καὶ ἐννέα ἔτη ἐβασίλευσεν ἐν Ἱερουσαλὴμ, καὶ ὄνομα τῇ μητρὶ αὐτοῦ Ἄβού, θυγάτηρ Ζαχαρίου.
12353	ΒΑΣΙΛΕΙΩΝ Δ 18:11	ὄρὴ	Μήδων	Yes	2	pos 0: ACUTE on ο; pos 2: GRAVE on η	\vs{11}Καὶ ἀπῴκισε βασιλεὺς Ἀσσυρίων τὴν Σαμάρειαν εἰς Ἀσσυρίους, καὶ ἔθηκεν αὐτοὺς ἐν Ἁλαὲ καὶ ἐν Ἀβὼρ ποταμῷ Γωζὰν καὶ ὄρὴ Μήδων·
12467	ΒΑΣΙΛΕΙΩΝ Δ 21:4	Ἰερουσάλὴμ	θήσω	Yes	2	pos 6: ACUTE on α; pos 8: GRAVE on η	\vs{4}Καὶ ᾠκοδόμησε θυσιαστήριον ἐν οἴκῳ Κυρίου, ὡς εἶπεν, ἐν Ἰερουσάλὴμ θήσω τὸ ὄνομά μου.
12526	ΒΑΣΙΛΕΙΩΝ Δ 23:4	Κέδρών	καὶ	Yes	2	pos 1: ACUTE on ε; pos 4: ACUTE on ω	\vs{4}Καὶ ἐνετείλατο ὁ βασιλεὺς τῷ Χελκίᾳ τῷ ἱερεῖ τῷ μεγάλῳ καὶ τοῖς ἱερεῦσι τῆς δευτερώσεως καὶ τοῖς φυλάσσουσι τὸν σταθμὸν, ἐξαγαγεῖν ἐκ τοῦ ναοῦ Κυρίου πάντα τὰ σκεύη τὰ πεποιημένα τῷ Βάαλ καὶ τῷ ἄλσει καὶ πάσῃ τῇ δυνάμει τοῦ οὐρανοῦ· καὶ κατέκαυσεν αὐτὰ ἔξω Ἰερουσαλὴμ ἐν σαλημὼθ Κέδρών, καὶ ἔλαβεν τὸν χοῦν αὐτῶν εἰς Βαιθήλ.
12529	ΒΑΣΙΛΕΙΩΝ Δ 23:6	Κέδρών	καὶ	Yes	2	pos 1: ACUTE on ε; pos 4: ACUTE on ω	\vs{6}Καὶ ἐξήνεγκε τὸ ἄλσος ἐξ οἴκου Κυρίου ἔξωθεν Ἰερουσαλὴμ εἰς τὸν χειμάῤῥουν Κέδρών, καὶ κατέκαυσεν αὐτὸν ἐν τῷ χειμάῤῥῳ Κεδρων, καὶ ἐλέπτυνεν εἰς χοῦν· καὶ ἔῤῥιψε τὸν χοῦν αὐτοῦ εἰς τὸν τάφον τῶν υἱῶν τοῦ λαοῦ.
12531	ΒΑΣΙΛΕΙΩΝ Δ 23:8	Βηρσάβεέ	καὶ	Yes	2	pos 4: ACUTE on α; pos 7: ACUTE on ε	\vs{8}Καὶ ἀνήγαγεν πάντας τοὺς ἱερεῖς ἐκ πόλεων Ἰούδα, καὶ ἐμίανε τὰ ὑψηλὰ οὗ ἐθυμίασαν ἐκεῖ οἱ ἱερεῖς ἀπὸ Γαιβὰλ καὶ ἕως Βηρσάβεέ· καὶ καθεῖλε τὸν οἶκον τῶν πυλῶν τὸν παρὰ τὴν θύραν τῆς πύλης Ἰησοῦ ἄρχοντος τῆς πόλεως, τῶν ἐξ ἀριστερῶν ἀνδρὸς ἐν τῇ πύλῃ τῆς πόλεως.
13347	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 16:33	ξύλατοῦ	δρυμοῦ	Yes	2	pos 1: ACUTE on υ; pos 6: CIRCUMFLEX on υ	\vs{33}Τότε εὐφρανθήσεται τὰ ξύλατοῦ δρυμοῦ ἀπὸ προσώπου Κυρίου, ὅτι ἦλθε κρίναι τὴν γῆν.
13359	ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 16:42	ῷδῶν	τοῖ	Yes	2	pos 0: CIRCUMFLEX on ω; pos 2: CIRCUMFLEX on ω	\vs{42}Καὶ μετʼ αὐτῶν σάλπιγγες καὶ κύμβαλα τοῦ ἀναφωνεῖν καὶ ὄργανα τῶν ῷδῶν τοῖ Θεοῦ, οἱ δὲ υἱοὶ Ἰδιθοὺν εἰς τὴν πύλην.
15225	ΕΣΔΡΑΣ 10:11	πατέρῶν	ἡμῶν	Yes	2	pos 3: ACUTE on ε; pos 5: CIRCUMFLEX on ω	\vs{11}Καὶ νῦν δότε αἴνεσιν Κυρίῳ Θεῷ τῶν πατέρῶν ἡμῶν, καὶ ποιήσατε τὸ ἀρεστὸν ἐνώπιον αὐτοῦ, καὶ διαστάλητε ἀπὸ λαῶν τῆς γῆς καὶ ἀπὸ τῶν γυναικῶν τῶν ἀλλοτρίων.
15289	ΝΕΕΜΙΑΣ 2:5	ἐνώπιόν	σοῦ	Yes	2	pos 2: ACUTE on ω; pos 5: ACUTE on ο	\vs{5}καὶ εἶπα τῷ βασιλεῖ, εἰ ἐπὶ τὸν βασιλέα ἀγαθὸν, καὶ εἰ ἀγαθυνθήσεται ὁ παῖς σου ἐνώπιόν σοῦ, ὥστε πέμψαι αὐτὸν ἐν Ἰούδα εἰς πόλιν μνημείων πατέρων μου, καὶ ἀνοικοδομήσω αὐτήν.
15865	ΕΣΘΗΡ 2:8	Σοῦσάν	τὴν	Yes	2	pos 2: CIRCUMFLEX on υ; pos 4: ACUTE on α	\vs{8}Καὶ ὅτε ἠκούσθη τὸ τοῦ βασιλέως πρόσταγμα, συνήχθησαν πολλὰ κοράσια εἰς Σοῦσάν τὴν πόλιν ὑπὸ χεῖρα Γαῒ, καὶ ἤχθη Ἐσθὴρ πρὸς Γαῒ τὸν φύλακα τῶν γυναικῶν.
16013	ΕΣΘΗΡ 7:1	Εἴσῆλθε	δὲ	Yes	2	pos 1: ACUTE on ι; pos 3: CIRCUMFLEX on η	Εἴσῆλθε δὲ ὁ βασιλεὺς καὶ Ἀμὰν, συμπιεῖν τῇ βασιλίσσῃ.
16087	ΕΣΘΗΡ 9:10	Ἀμαδάθοῦ	Βουγαίου	Yes	2	pos 4: ACUTE on α; pos 7: CIRCUMFLEX on υ	\vs{10}τοὺς δέκα υἱοὺς Ἀμὰν Ἀμαδάθοῦ Βουγαίου τοῦ ἐχθροῦ τῶν Ἰουδαίων, καὶ διήρπασαν
16460	ΙΩΒ 11:14	ἄνομόν	τί	Yes	2	pos 0: ACUTE on α; pos 4: ACUTE on ο	\vs{14}εἰ ἄνομόν τί ἐστιν ἐν χερσί σου, πόῤῥω ποίησον αὐτὸ ἀπὸ σοῦ, ἀδικία δὲ ἐν διαίτῃ σου μὴ αὐλισθήτω·
17176	ΙΩΒ 34:16	Ἴδὲ	μὴ	Yes	2	pos 0: ACUTE on Ι; pos 2: GRAVE on ε	\vs{16}Ἴδὲ μὴ νουθετῇ, ἄκουε ταῦτα, ἐνωτίζου φωνὴν ῥημάτων.
17747	ΨΑΛΜΟΙ 17:8	ἔντρόμος	ἐγενήθη	Yes	2	pos 0: ACUTE on ε; pos 4: ACUTE on ο	\vs{8}Καὶ ἐσαλεύθη, καὶ ἔντρόμος ἐγενήθη ἡ γῆ, καὶ τὰ θεμέλια τῶν ὀρέων ἐταράχθησαν, καὶ ἐσαλεύθησαν, ὅτι ὠργίσθη αὐτοῖς ὁ Θεός.
18073	ΨΑΛΜΟΙ 32:8	Φόβηθήτω	τὸν	Yes	2	pos 1: ACUTE on ο; pos 5: ACUTE on η	\vs{8}Φόβηθήτω τὸν Κύριον πᾶσα ἡ γῆ, ἀπʼ αὐτοῦ δὲ σαλευθήτωσαν πάντες οἱ κατοικοῦντες τὴν οἰκουμένην.
20184	ΨΑΛΜΟΙ 118:73	ἔποίησάν	με	No	3	pos 0: ACUTE on ε; pos 3: ACUTE on ι; pos 6: ACUTE on α	\vs{73}Αἱ χεῖρές σου ἔποίησάν με καὶ ἐπλασάν με, συνέτισόν με καὶ μαθήσομαι τὰς ἐντολάς σου.
20849	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 3:1	ἐμῶννομίμων	μὴ	Yes	2	pos 2: CIRCUMFLEX on ω; pos 7: ACUTE on ι	Υἱὲ, ἐμῶννομίμων μὴ ἐπιλανθάνου, τὰ δὲ ῥήματά μου τηρείτω σὴ καρδία·
21188	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 11:30	δένδρὅν	ζωῆς	Yes	2	pos 1: ACUTE on ε; pos 5: ACUTE on ο	\vs{30}Ἐκ καρποῦ δικαιοσύνης φύεται δένδρὅν ζωῆς, ἀφαιροῦνται δὲ ἄωροι ψυχαὶ παρανόμων.
21781	ΠΑΡΟΙΜΙΑΙ ΣΑΛΩΜΩΝΤΟΣ 26:7	Ἄφελοῦ	πορείαν	Yes	2	pos 0: ACUTE on Α; pos 5: CIRCUMFLEX on υ	\vs{7}Ἄφελοῦ πορείαν σκελῶν, καὶ παρανομίαν ἐκ στόματος ἀφρόνων.
22329	ΑΣΜΑ 4:3	σπάρτίον	τὸ	Yes	2	pos 2: ACUTE on α; pos 5: ACUTE on ι	\vs{3}Ὡς σπάρτίον τὸ κόκκινον χείλη σου, καὶ ἡ λαλιά σου ὡραῖα, ὡς λέπυρον ῥοᾶς μῆλόν σου ἐκτὸς τῆς σιωπήσεώς σου.
22662	ΗΣΑΙΑΣ 9:4	ἐπισυνήγμένην	δόλῳ	Yes	2	pos 6: ACUTE on η; pos 9: ACUTE on ε	\vs{4}Ὅτι πᾶσαν στολὴν ἐπισυνήγμένην δόλῳ, καὶ ἱμάτιον μετὰ καταλλαγῆς ἀποτίσουσι· καὶ θελήσουσιν, εἰ ἐγένοντο πυρίκαυστοι.
22764	ΗΣΑΙΑΣ 13:7	Διάτοῦτο	πᾶσα	Yes	2	pos 2: ACUTE on α; pos 5: CIRCUMFLEX on υ	\vs{7}Διάτοῦτο πᾶσα χεὶρ ἐκλυθήσεται, καὶ πᾶσα ψυχὴ ἀνθρώπου δειλιάσει.
22833	ΗΣΑΙΑΣ 15:9	Ἄδαμὰ		N/A	2	pos 0: ACUTE on Α; pos 4: GRAVE on α	\vs{9}Τὸ δὲ ὕδωρ τὸ Δειμὼν πλησθήσεται αἵματος, ἐπάξω γὰρ ἐπὶ Δειμὼν Ἄραβας, καὶ ἀρῶ τὸ σπέρμα Μωὰβ, καὶ Ἀριὴλ, καὶ τὸ κατάλοιπον Ἄδαμὰ.
23098	ΗΣΑΙΑΣ 28:7	τοῦτέστι	φάσμα	Yes	2	pos 2: CIRCUMFLEX on υ; pos 4: ACUTE on ε	\vs{7}Οὗτοι γὰρ οἴνῳ πεπλημμελημένοι εἰσίν· ἐπλανήθησαν διὰ τὸ σίκερα, ἱερεὺς καὶ προφήτης ἐξέστησαν διὰ τὸ σίκερα, κατεπόθησαν διὰ τὸν οἶνον, ἐσείσθησαν ἀπὸ τῆς μέθης, ἐπλανήθησαν· τοῦτέστι φάσμα.
23242	ΗΣΑΙΑΣ 33:5	ἔνεπλήσθη	Σιὼν	Yes	2	pos 0: ACUTE on ε; pos 5: ACUTE on η	\vs{5}Ἅγιος ὁ Θεὸς ὁ κατοικῶν ἐν ὑψηλῷ, ἔνεπλήσθη Σιὼν κρίσεως καὶ δικαιοσύνης.
23323	ΗΣΑΙΑΣ 36:18	ἑαῦτοῦ	χώραν	Yes	2	pos 2: CIRCUMFLEX on υ; pos 5: CIRCUMFLEX on υ	\vs{18}Μὴ ἀπατάτω ὑμᾶς Ἐζεκίας, λέγων, ὁ Θεὸς ῥύσεται ὑμᾶς· μὴ ἐῤῥύσαντο οἱ θεοὶ τῶν ἐθνῶν, ἕκαστος τὴν ἑαῦτοῦ χώραν ἐκ χειρὸς βασιλέως Ἀσσυρίων;
23333	ΗΣΑΙΑΣ 37:2	Σόμνᾶν	τὸν	Yes	2	pos 1: ACUTE on ο; pos 4: CIRCUMFLEX on α	\vs{2}Καὶ ἀπέστειλεν Ἑλιακεὶμ τὸν οἰκονόμον, καὶ Σόμνᾶν τὸν γραμματέα, καὶ τοὺς πρεσβυτέρους τῶν ἱερέων περιβεβλημένους σάκκους, πρὸς Ἠσαΐαν υἱὸν Ἀμὼς τὸν προφήτην.
23364	ΗΣΑΙΑΣ 37:26	πάλαὶ	ἃ	Yes	2	pos 1: ACUTE on α; pos 4: GRAVE on ι	\vs{26}Οὐ ταῦτα ἤκουσας πάλαὶ ἃ ἐγὼ ἐποίησα; ἐξ ἡμερῶν ἀρχαίων συνέταξα, νῦν δὲ ἐπέδειξα ἐξερημῶσαι ἔθνη ἐν ὀχυροῖς, καὶ οἰκοῦντας ἐν πόλεσιν ὀχυραῖς.
23978	ΗΣΑΙΑΣ 60:20	Κύριός	φῶς	Yes	2	pos 1: ACUTE on υ; pos 4: ACUTE on ο	\vs{20}Οὐ γὰρ δύσεται ὁ ἥλιος σοι, καὶ ἡ σελήνη σοι οὐκ ἐκλείψει· ἔσται γὰρ σοι Κύριός φῶς αἰώνιον, καὶ ἀναπληρωθήσονται αἱ ἡμέραι τοῦ πένθους σου.
25755	ΙΕΡΕΜΙΑΣ 48:16	ἀπέστρέψεν	ἀπὸ	Yes	2	pos 2: ACUTE on ε; pos 6: ACUTE on ε	\vs{16}Καὶ ἔλαβεν Ἰωάναν, καὶ πάντες οἱ ἡγεμόνες τῆς δυνάμεως οἱ μετʼ αὐτοῦ, πάντας τοὺς καταλοίπους τοῦ λαοῦ, οὓς ἀπέστρέψεν ἀπὸ Ἰσμαὴλ, δυνατοὺς ἄνδρας ἐν πολέμῳ, καὶ τὰς γυναῖκας, καὶ τὰ λοιπὰ, καὶ τοὺς εὐνούχους, οὓς ἀπέστρεψαν ἀπὸ Γαβαὼν,
25886	ΙΕΡΕΜΙΑΣ 52:31	Οὐλαιμαδάχὰρ	βασιλεὺς	Yes	2	pos 8: ACUTE on α; pos 10: GRAVE on α	\vs{31}Καὶ ἐγένετο ἐν τῷ τριακοστῷ καὶ ἑβδόμῳ ἔτει, ἀποικισθέντος τοῦ Ἰωακεὶμ βασιλέως Ἰούδα, ἐν τῷ δωδεκάτῳ μηνὶ, ἐν τῇ τετράδι καὶ εἰκάδι τοῦ μηνὸς, ἔλαβεν Οὐλαιμαδάχὰρ βασιλεὺς Βαβυλῶνος, ἐν τῷ ἐνιαυτῷ ᾧ ἐβασίλευσε, τὴν κεφαλὴν Ἰωακεὶμ βασιλέως Ἰούδα, καὶ ἔκειρεν αὐτὸν, καὶ ἐξήγαγεν αὐτὸν ἐξ οἰκίας ἧς ἐφυλάσσετο,
26427	ΙΕΖΕΚΙΗΛ 11:7	αὕτὴ	δὲ	Yes	2	pos 1: ACUTE on υ; pos 3: GRAVE on η	\vs{7}Διατοῦτο τάδε λέγει Κύριος, τοὺς νεκροὺς ὑμῶν οὓς ἐπατάξατε ἐν μέσῳ αὐτῆς, οὗτοί εἰσι τὰ κρέα, αὕτὴ δὲ ὁ λέβης ἐστὶ, καὶ ὑμᾶς ἐξάξω ἐκ μέσου αὐτῆς.
27090	ΙΕΖΕΚΙΗΛ 27:24	σχοίνίοις	καὶ	Yes	2	pos 3: ACUTE on ι; pos 5: ACUTE on ι	\vs{24}Ἀσσοὺρ καὶ Χαρμὰν ἔμποροί σου, φέροντες ἐμπορίαν ὑάκινθον, καὶ θησαυροὺς ἐκλεκτοὺς δεδεμένους σχοίνίοις, καὶ κυπαρίσσινα.
27122	ΙΕΖΕΚΙΗΛ 28:13	ἐνέπλήσας	τοὺς	Yes	2	pos 2: ACUTE on ε; pos 5: ACUTE on η	\vs{13}καὶ στέφανος κάλλους ἐν τῇ τρυφῇ τοῦ παραδείσου τοῦ Θεοῦ ἐγενήθης· πᾶντα λίθον χρηστὸν ἐνδέδεσαι, σάρδιον καὶ τοπάζιον, καὶ σμάραγδον καὶ ἄνθρακα, καὶ σάπφειρον καὶ ἴασπιν, καὶ ἀργύριον καὶ χρυσίον, καὶ λιγύριον καὶ ἀχάτην, καὶ ἀμέθυστον καὶ χρυσόλιθον, καὶ βηρύλλιον καὶ ὀνύχιον, καὶ χρυσίου ἐνέπλήσας τοὺς θησαυρούς σου καὶ τὰς ἀποθήκας σου ἐν σοί.
27149	ΙΕΖΕΚΙΗΛ 29:5	πέσῇ	καὶ	Yes	2	pos 1: ACUTE on ε; pos 3: CIRCUMFLEX on η	\vs{5}καὶ καταβαλῶ σε ἐν τάχει καὶ πάντας τοὺς ἰχθύας τοῦ ποταμοῦ σου· ἐπὶ πρόσωπον τοῦ πεδίου πέσῇ, καὶ οὐ μὴ συναχθῇς, καὶ οὐ μὴ περισταλῇς, τοῖς θηρίοις τῆς γῆς καὶ τοῖς πετεινοῖς τοῦ οὐρανοῦ δέδωκά σε εἰς κατάβρωμα·
27704	ΙΕΖΕΚΙΗΛ 43:17	δέκατέσσαρας	τὸ	Yes	2	pos 1: ACUTE on ε; pos 5: ACUTE on ε	\vs{17}Καὶ τὸ ἱλαστήριον πηχῶν δεκατεσσάρων τὸ μῆκος, ἐπὶ πήχεις δέκατέσσαρας τὸ εὖρος ἐπὶ τέσσαρα μέρη αὐτοῦ, καὶ τὸ γεῖσος αὐτῷ κυκλόθεν κυκλούμενον αὐτῷ ἥμισυ πήχεως· καὶ τὸ κύκλωμα αὐτοῦ πῆχυς κυκλόθεν, καὶ οἱ κλημακτῆρες αὐτοῦ βλέποντες κατὰ ἀνατολάς.
27791	ΙΕΖΕΚΙΗΛ 45:25	ἑβδόμῷ	μηνὶ	Yes	2	pos 3: ACUTE on ο; pos 5: CIRCUMFLEX on ω	\vs{25}Καὶ ἐν τῷ ἑβδόμῷ μηνὶ, πεντεκαιδεκάτῃ τοῦ μηνὸς, ἐν τῇ ἑορτῇ ποιήσεις κατὰ τὰ αὐτὰ, ἑπτὰ ἡμέρας, καθὼς τὰ ὑπὲρ τῆς ἁμαρτίας, καὶ καθὼς τὰ ὁλοκαυτώματα, καὶ καθὼς τὸ μαναὰ, καὶ καθὼς τὸ ἔλαιον.
27821	ΙΕΖΕΚΙΗΛ 46:21	ἐξῶτέραν	καὶ	Yes	2	pos 2: CIRCUMFLEX on ω; pos 4: ACUTE on ε	\vs{21}Καὶ ἐξήγαγέ με εἰς τὴν αὐλὴν τὴν ἐξῶτέραν, καὶ περιήγαγέ με ἐπὶ τὰ τέσσαρα μέρη τῆς αὐλῆς· καὶ ἰδοὺ αὐλὴ κατὰ τὰ κλίτη τῆς αὐλῆς,
28324	ΔΑΝΙΗΛ 9:4	ἔλεός	τοῖς	Yes	2	pos 0: ACUTE on ε; pos 3: ACUTE on ο	\vs{4}Καὶ προσευξάμην πρὸς Κύριον τὸν Θεόν μου, καὶ ἐξωμολογησάμην, καὶ εἶπα, Κύριε ὁ Θεὸς ὁ μέγας καὶ θαυμαστὸς, ὁ φυλάσσων τὴν διαθήκην σου, καὶ τὸ ἔλεός τοῖς ἀγαπῶσί σε σου καὶ τοῖς φυλάσσουσι, τὰς ἐντολάς σου,
28471	ΩΣΗΕ 1:2	Ὠσῆέ	καὶ	Yes	2	pos 2: CIRCUMFLEX on η; pos 3: ACUTE on ε	\vs{2}Ἀρχὴ λόγου Κυρίου ἐν Ὠσῆέ· καὶ εἶπε Κύριος πρὸς Ὠσηὲ, βάδιζε, λάβε σεαυτῷ γυναῖκα πορνείας, καὶ τέκνα πορνείας, διότι ἐκπορνεύουσα ἐκπορνεύσει ἡ γῆ ἀπὸ ὄπισθεν τοῦ Κυρίου.
28529	ΩΣΗΕ 4:6	τοῦμὴ	ἱερατεύειν	Yes	2	pos 2: CIRCUMFLEX on υ; pos 4: GRAVE on η	\vs{6}Ὡμοιώθη ὁ λαός μου, ὡς οὐκ ἔχων γνῶσιν· ὅτι σὺ ἐπίγνωσιν ἀπώσω, κᾀγὼ ἀπώσομαί σε, τοῦμὴ ἱερατεύειν μοι· καὶ ἐπελάθου νόμον Θεοῦ σου, κᾀγὼ ἐπιλήσομαι τέκνων σου.
30375	ΕΣΔΡΑΣ Α 6:32	παραβῶσί	τὶ	Yes	2	pos 5: CIRCUMFLEX on ω; pos 7: ACUTE on ι	\vs{32}καὶ προστάξαι ἵνα ὅσοι ἐὰν παραβῶσί τὶ τῶν γεγραμμένων καὶ ἀκυρώσωσι, ληφθῆναι ξύλον ἐκ τῶν ἰδίων αὐτοῦ, καὶ ἐπʼ αὐτοῦ κρεμασθῆναι, καὶ τὰ ὑπάρχοντα αὐτοῦ εἶναι βασιλικά.
30645	ΤΩΒΙΤ 2:13	κλεψιμαῖόν	ἐστίν	Yes	2	pos 7: CIRCUMFLEX on ι; pos 8: ACUTE on ο	\vs{13}Ὅτε δὲ ἦλθε πρὸς μέ, ἤρξατο κράζειν· καὶ εἶπα αὐτῇ, πόθεν τὸ ἐρίφιον; μὴ κλεψιμαῖόν ἐστίν; ἀπόδος αὐτὸ τοῖς κυρίοις· οὐ γὰρ θεμιτόν ἐστι φαγεῖν κλεψιμαῖον.
30844	ΤΩΒΙΤ 11:9	ἄμφότεροι		N/A	2	pos 0: ACUTE on α; pos 3: ACUTE on ο	\vs{9}Καὶ προσδραμοῦσα Ἄννα ἐπέπεσεν ἐπὶ τὸν τράχηλον τοῦ υἱοῦ αὐτῆς, καὶ εἶπεν αὐτῷ, εἶδόν σε παιδίον, ἀπὸ τοῦ νῦν ἀποθανοῦμαι· καὶ ἔκλαυσαν ἄμφότεροι.
31084	ΙΟΥΔΙΘ 6:10	πάραδοῦναὶ	εἰς	No	3	pos 1: ACUTE on α; pos 6: CIRCUMFLEX on υ; pos 9: GRAVE on ι	\vs{10}Καὶ προσέταξεν Ὀλοφέρνης τοῖς δούλοις αὐτοῦ, οἳ ἦσαν παρεστηκότες ἐν τῇ σκηνῇ αὐτοῦ, συλλαβεῖν τὸν Ἀχιὼρ, καὶ ἀποκαταστῆσαι αὐτὸν εἰς Βετυλούα, καὶ πάραδοῦναὶ εἰς χεῖρας υἱῶν Ἰσραήλ.
32204	ΣΟΦΙΑ ΣΕΙΡΑΧ 6:25	ὦμόν	σοῦ	Yes	2	pos 0: CIRCUMFLEX on ω; pos 2: ACUTE on ο	\vs{25}Ὑπόθες τὸν ὦμόν σοῦ, καὶ βάσταξον αὐτὴν, καὶ μὴ προσοχθίσῃς τοῖς δεσμοῖς αὐτῆς.
32206	ΣΟΦΙΑ ΣΕΙΡΑΧ 6:27	Ἐξίχνεύσον	καὶ	Yes	2	pos 2: ACUTE on ι; pos 6: ACUTE on υ	\vs{27}Ἐξίχνεύσον καὶ ζήτησον, καὶ γνωσθήσεταί σοι, καὶ ἐγκρατὴς γενόμενος μὴ ἀφῇς αὐτήν.
